id,X,Y,zipcode,greening_rate,plot_area,first_hand,price,distance,b_subway,n_school
170219,116.2905071,40.02640721,100193,30,1.6,f,39772,0.023404748,0,0
170281,116.2519568,39.89883323,100040,30,1.6,f,48427,0.021100421,1,0
170372,116.354165,40.0662327,100085,30,1.6,f,58209,0.024392603,1,0
170464,116.3231182,39.96229268,100081,30,1.6,f,109450,0.007503583,1,1
170660,116.3218714,39.90385814,100038,30,1.6,f,55348,0.0056708,1,0
171954,116.3505971,40.07417376,102208,30,1.6,f,40820,0.027157362,1,1
172053,116.2346438,40.22895014,102204,30,1.6,f,40706,0.124157353,1,0
172516,116.3416922,39.88042352,100055,30,1.6,f,92021,0.004226192,1,0
172749,116.3862755,39.96693373,100088,30,1.6,f,107447,0.002711506,1,0
172960,116.3677222,39.8912207,100053,30,1.6,f,79707,0.00141725,1,1
172978,116.3623411,39.87962756,100054,30,1.6,f,71199,0.002457673,1,0
173010,116.3160042,39.88410336,100073,30,1.6,f,59242,0.00744052,1,0
173074,116.3537349,39.93030341,100037,30,1.6,f,104288,0.002014753,1,0
173377,116.4271943,39.85945236,100078,30,1.6,f,55356,0.004136718,1,0
173396,116.2867165,39.86160879,100071,30,1.6,f,62750,0.014929872,1,0
173526,116.4302319,39.85220069,100079,30,1.6,f,55868,0.005204226,1,0
173529,116.3211001,39.84931899,100070,30,1.6,f,53851,0.010065384,1,0
173578,116.2610815,39.90679516,100036,30,1.6,f,59295,0.018343862,1,0
173662,116.4203541,39.88200489,100061,30,1.6,f,64284,0.001725916,1,0
173858,116.3819368,39.88249,100052,30,1.6,f,110065,0.001314899,1,0
173892,116.3625401,39.89824525,100053,30,1.6,f,78635,0.001443208,1,1
173905,116.3562316,39.89445773,100053,30,1.6,f,74811,0.002055419,1,0
173965,116.3927316,39.95556534,100120,30,1.6,f,113985,0.001591861,1,0
174264,116.2484292,40.16490683,102206,30,1.6,f,20524,0.083886369,0,0
174316,116.3739372,40.08412218,102208,30,1.6,f,40169,0.028822147,0,0
174420,116.33775,39.71198949,102600,30,1.6,f,35807,0.044965618,1,0
174450,116.4015295,39.78466905,102600,30,1.6,f,30911,0.017228762,0,0
174668,116.6536612,40.13731532,101399,30,1.6,f,33778,0.115336148,0,1
174769,116.1760181,39.75071012,102401,30,1.6,f,34399,0.075750149,1,0
